name,Modification,Chassis ID,Engine,Drive
NISSAN ,AXIS GT TURBO,"GF-,NN30",SR20DET,Full-time 4WD
NISSAN ,AXIS,"GF-,PNN30",KA24DE,Full-time 4WD
NISSAN ,GT TURBO,"E-,NN30",SR20DET,Full-time 4WD
MAZDA ,L,"DBA-,DC5W",ZY-VE,FF
MAZDA ,L,"DBA-,DC5R",ZY-VE,Full-time 4WD
MAZDA ,C,"DBA-,DC5W",ZY-VE,FF
MAZDA ,C,"DBA-,DC5R",ZY-VE,Full-time 4WD
MAZDA ,L,"DBA-,DC5W",ZY-VE,FF
MAZDA ,L,"DBA-,DC5R",ZY-VE,Full-time 4WD
MAZDA ,MYSTIC LEATHER SELECTION,"DBA-,DC5W",ZY-VE,FF
NISSAN ,X,"E-,N30",SR20DE,FF
NISSAN ,G,"E-,N30",SR20DE,FF
NISSAN ,B,"E-,N30",SR20DE,FF
NISSAN ,X,"E-,PNN30",KA24DE,Full-time 4WD
MAZDA ,MAGENTA SELECTION,"DBA-,DC5W",ZY-VE,FF
MAZDA ,C,"DBA-,DC5W",ZY-VE,FF
MAZDA ,C,"DBA-,DC5R",ZY-VE,Full-time 4WD
MAZDA ,L,"DBA-,DC5W",ZY-VE,FF
MAZDA ,L,"DBA-,DC5R",ZY-VE,Full-time 4WD
MAZDA ,C,"DBA-,DC5W",ZY-VE,FF
MAZDA ,C,"DBA-,DC5R",ZY-VE,Full-time 4WD
MAZDA ,L,"DBA-,DC5W",ZY-VE,FF
EUNOS ,SI SPECIAL EDITION DSP PACKAGE,"E-,EC5S",B5-ZE,FF
NISSAN ,G,"E-,PNN30",KA24DE,Full-time 4WD
MAZDA ,L,"DBA-,DC5R",ZY-VE,Full-time 4WD
MAZDA ,C,"DBA-,DC5W",ZY-VE,FF
MAZDA ,C,"DBA-,DC5R",ZY-VE,Full-time 4WD
MAZDA ,L,"DBA-,DC5W",ZY-VE,FF
MAZDA ,L,"DBA-,DC5R",ZY-VE,Full-time 4WD
MAZDA ,CLASSY STYLE,"DBA-,DC5W",ZY-VE,FF
EUNOS ,SI SPECIAL EDITION DSP PACKAGE,"E-,EC5S",B5-ZE,FF
EUNOS ,SI SPECIAL EDITION,"E-,EC5S",B5-ZE,FF
EUNOS ,SI SPECIAL EDITION,"E-,EC5S",B5-ZE,FF
EUNOS ,GT-X,"E-,EC8S",K8-ZE,FF
EUNOS ,GT-X,"E-,EC8S",K8-ZE,FF
EUNOS ,GT-A,"E-,EC8S",K8-ZE,FF
EUNOS ,GT-A,"E-,EC8S",K8-ZE,FF
MAZDA ,CLASSY STYLE,"DBA-,DC5R",ZY-VE,Full-time 4WD
EUNOS ,GT,"E-,EC8S",K8-ZE,FF
EUNOS ,GT,"E-,EC8S",K8-ZE,FF
EUNOS ,SPORTS,"E-,EC5S",B5-ZE,FF
EUNOS ,SPORTS,"E-,EC5S",B5-ZE,FF
EUNOS ,SI,"E-,EC5S",B5-ZE,FF
EUNOS ,SI,"E-,EC5S",B5-ZE,FF
EUNOS ,SI BASEGRADE,"E-,EC5S",B5-ZE,FF
EUNOS ,SI BASEGRADE,"E-,EC5S",B5-ZE,FF
MAZDA ,C,"DBA-,DC5W",ZY-VE,FF
MAZDA ,C,"DBA-,DC5R",ZY-VE,Full-time 4WD
MAZDA ,L,"DBA-,DC5W",ZY-VE,FF
MAZDA ,L,"DBA-,DC5R",ZY-VE,Full-time 4WD
MAZDA ,C,"DBA-,DC5W",ZY-VE,FF
