scrape_date,website_url,Product_ID,GTIN,Brand,product,price,pack_size,multibuy_deal_quantity,multibuy_deal_price,undiscounted_price,delivery_available,review_rating,review_count,style,type,packaging,standard_drinks,alcohol_content,organic,origin
10/8/2021,https://www.liquorland.com.au/beer/mr-finch-pear-cider-can-375ml_3026168,3026168,9.31394E+12,Mr Finch,Pear Cider Can 375mL,23,Pack (10),,,25,TRUE,4.4,7,Pear Cider,,Can,1.4,4.50%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/coors-can-12-pack-355ml_2673115,2673115,71990386047,Coors,Can (12 pack) 355mL,28,Pack (12),,,30,TRUE,4.8,5,,,Can,1.2,4.20%,No,United States
10/8/2021,https://www.liquorland.com.au/beer/iron-jack-bottle-330ml_3068190,3068190,9.31088E+12,Iron Jack,Bottle 330mL,45,Pack (24),,,,TRUE,3.3,4,,,Bottle,1,3.50%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/mr-finch-apple-cider-bottle-330ml_3025970,3025970,9.31394E+12,Mr Finch,Apple Cider Bottle 330mL,40,Pack (24),,,46,TRUE,4.5,26,,,Bottle,1.2,4.50%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/somersby-lower-carb-apple-cider-can-375ml-10-pack-_3345632,3345632,9.32998E+12,Somersby,Lower Carb Apple Cider Can 375mL (10 Pack),23,Pack (10),,,27,TRUE,5,1,,,Can,1.2,4.00%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/miller-genuine-draft-bottle-330ml_90223,90223,9.34794E+12,Miller,Genuine Draft Bottle 330mL,55,Pack (24),,,,TRUE,2.7,3,Draught,Draught,Bottle,1.3,4.70%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/rekorderlig-strawberry-lime-cider-bottle-330ml_2112184,2112184,7.3111E+12,Rekorderlig,Strawberry & Lime Cider Bottle 330mL,22,Pack (4),,,25,TRUE,5,1,,,Bottle,1.1,4.00%,No,Sweden
10/8/2021,https://www.liquorland.com.au/beer/carlton-zero-bottle-330ml_3346078,3346078,9.32E+12,Carlton,Zero Bottle 330mL,40,Pack (24),,,,TRUE,3.6,7,,Non Alcoholic,Bottle,0.1,0.01%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/dos-equis-xx-special-lager-bottle-355ml_4847341,4847341,72311330121,Dos Equis,Xx Special Lager Bottle 355mL,50,Pack (24),,,58,TRUE,,0,Lager,Lager,Bottle,1.3,4.50%,No,Mexico
10/8/2021,https://www.liquorland.com.au/beer/strongbow-classic-apple-cider-bottle-355ml_89487,89487,9.32E+12,Strongbow,Classic Apple Cider Bottle 355mL,49,Pack (24),,,55,TRUE,5,1,Apple Cider,,Bottle,1.5,5.00%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/maxx-dry-bottle-330ml_2903168,2903168,9.31394E+12,Maxx Dry,Bottle 330mL,39,Pack (24),,,45,TRUE,4.2,15,,,Bottle,1.2,4.50%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/hammer-n-tongs-bitter-block-can-330ml_2554003,2554003,9.31394E+12,Hammer N Tongs,Bitter Block Can 330mL,45,Pack (30),,,,TRUE,5,4,,,Can,1.3,4.90%,No,Viet Nam
